Stadium,School,Conference,Capacity,Opened
Qualcomm Stadium,San Diego State,Mountain West,"70,561",1967
CEFCU Stadium,San Jose State,Mountain West,"30,456",1933
Gerald Ford Stadium,SMU,AAC,"32,000",2000
Ladd Peebles Stadium,South Alabama,Sun Belt,"40,646",1948
Williams Brice Stadium,South Carolina,SEC,"80,250",1934
Raymond James Stadium,South Florida,AAC,"65,857",1998
Roberts Stadium,Southern Miss,CUSA,"36,000",1932
Stanford Stadium,Stanford,Pac 12,"50,000",1921
Carrier Dome,Syracuse,ACC,"49,250",1980
Amon Carter Stadium,TCU,Big 12,"45,000",1929
Lincoln Financial Field,Temple,AAC,"68,532",2003
Neyland Stadium,Tennessee,SEC,"102,521",1921
Royal Memorial Stadium,Texas,Big 12,"100,119",1924
Kyle Field,Texas A&M,SEC,"102,733",1904
Bobcat Stadium,Texas State,Sun Belt,"30,000",1981
Jones AT&T Stadium,Texas Tech,Big 12,"60,862",1947
Glass Bowl,Toledo,MAC,"26,248",1937
Veterans Memorial Stadium,Troy,Sun Belt,"30,000",1950
Yulman Stadium,Tulane,AAC,"30,000",2014
Skelly Field,Tulsa,AAC,"35,542",1930
Legion Field,UAB,CUSA,"71,594",1927
Rose Bowl,UCLA,Pac 12,"89,702",1921
Gillette Stadium,Umass,MAC,"68,756",2002
McGuirk Stadium,UMass,Independent,"17,000",1965
Jerry Richardson Stadium,UNC Charlotte,CUSA,"15,314",2013
Sam Boyd Stadium,UNLV,Mountain West,"36,800",1971
Los Angeles Coliseum,USC,Pac 12,"93,607",1923
Rice Eccles Stadium,Utah,Pac 12,"45,017",1998
Maverik Stadium,Utah State,Mountain West,"25,513",1968
Sun Bowl Stadium,UTEP,CUSA,"51,500",1963
Alamodome,UTSA,CUSA,"65,000",1993
Vanderbilt Stadium,Vanderbilt,SEC,"40,550",1922
Scott Stadium,Virginia,ACC,"61,500",1931
Lane Stadium,Virginia Tech,ACC,"66,233",1965
BB&T Field,Wake Forest,ACC,"31,500",1968
Husky Stadium,Washington,Pac 12,"70,138",1920
Martin Stadium,Washington State,Pac 12,"35,117",1972
Mountaineer Field,West Virginia,Big 12,"60,000",1980
LT Smith Stadium,Western Kentucky,CUSA,"22,113",1968
Waldo Stadium,Western Michigan,MAC,"30,200",1939
Camp Randall Stadium,Wisconsin,Big Ten,"80,321",1917
War Memorial Stadium,Wyoming,Mountain West,"29,181",1950
